Treat,Plant,Tleaf,Rdark
c.c,1,30.960,1.378
c.c,1,35.246,1.961
c.c,1,36.361,2.378
c.c,1,38.264,2.460
c.c,2,29.674,0.946
c.c,2,31.148,0.966
c.c,2,30.815,1.113
c.c,2,31.595,1.051
c.c,2,32.579,1.209
c.c,2,33.997,1.831
c.c,2,35.945,1.761
c.c,2,33.016,0.938
c.c,2,38.025,2.063
c.c,3,29.687,1.099
c.c,3,29.936,0.795
c.c,3,30.645,1.250
c.c,3,31.534,1.217
c.c,3,32.344,1.218
c.c,3,34.700,1.651
c.c,3,35.928,1.828
c.c,3,32.672,1.230
c.c,3,38.279,2.047
c.c,4,29.576,0.873
c.c,4,30.696,0.924
c.c,4,35.296,1.015
c.c,4,36.729,1.557
c.c,4,38.732,1.687
c.c,5,29.529,0.852
c.c,5,29.853,0.979
c.c,5,31.072,1.355
c.c,5,31.520,1.330
c.c,5,32.232,1.403
c.c,5,34.498,1.820
c.c,5,36.726,2.562
c.c,5,32.941,1.229
c.c,5,37.472,2.910
w.w,1,37.30,1.65
w.w,1,40.87,2.20
w.w,1,38.17,1.26
w.w,2,37.37,1.67
w.w,2,30.88,1.22
w.w,2,40.50,1.89
w.w,2,37.10,1.84
w.w,3,37.60,1.86
w.w,3,30.70,1.18
w.w,3,41.20,2.30
w.w,3,36.23,1.49
w.w,4,37.67,2.08
w.w,4,30.91,1.39
w.w,4,40.90,2.65
w.w,4,34.93,1.52
w.w,5,37.58,2.04
w.w,5,31.20,1.22
w.w,5,40.27,2.00
w.w,5,32.86,1.28
c.w,1,30.81553629,0.88963418
c.w,1,32.81057884,0.960299677
c.w,1,35.90676422,1.526474285
c.w,1,41.40737486,1.799228549
c.w,2,29.96460238,0.972124221
c.w,2,32.72120982,1.316416946
c.w,2,35.95966297,1.838185906
c.w,2,41.28092911,2.749722721
c.w,3,30.142471,1.171860164
c.w,3,33.51810408,1.697628604
c.w,3,35.48128855,2.046391443
c.w,3,40.94664876,2.291780524
c.w,4,30.19478936,1.855344503
c.w,4,35.00552988,2.168561928
c.w,4,40.91060713,2.443536596
c.w,5,30.31502166,1.281657574
c.w,5,33.07427821,1.626783362
c.w,5,35.53081018,1.738910716
w.c,1,30.4377587,1.308671026
w.c,1,32.60223023,1.520490469
w.c,1,36.43753733,1.585354053
w.c,2,30.46619081,1.424388138
w.c,2,32.82065055,1.786287164
w.c,2,36.53283105,1.901684469
w.c,2,41.14568819,1.995610857
w.c,3,29.9821487,1.271853479
w.c,3,32.90644328,1.866936076
w.c,3,36.48796555,2.106222557
w.c,3,41.05230051,2.291780524
w.c,4,29.48867741,1.271820469
w.c,4,32.51819385,1.945193974
w.c,4,36.57795393,1.927454573
w.c,4,40.94675471,2.125929797
w.c,5,31.08506584,0.931466886
w.c,5,33.63630505,1.469202828
w.c,5,36.47063501,1.476008759
