Treat,rn,Estimate,Est.Error,Q5,Q95
c.c,R26.5,0.7043308045434293,0.05602292399487029,0.6180523929691795,0.7998285905756094
w.w,R26.5,0.950608335390363,0.1178397305214615,0.7739677167842764,1.1569479753719454
w.c,R26.5,1.1421675829085831,0.1173405793252208,0.9594463293239304,1.339567912048895
c.w,R26.5,0.969264680145598,0.10138655073841477,0.8128107924558425,1.1429995017960035
c.c,R29.5,0.9465945538412104,0.04862080825175761,0.8699696429255437,1.0277424843718752
w.w,R29.5,1.1241486782502372,0.102853974174417,0.9662822998515859,1.3025120674089934
w.c,R29.5,1.305700615183267,0.09480059700515706,1.1537536319411765,1.4645302227012384
c.w,R29.5,1.1632363422960716,0.08690792863277531,1.0265480395630762,1.3117656449158108
c.c,R30.5,1.0448631046618069,0.04522513701631563,0.9728795341774769,1.1199253578328134
w.w,R30.5,1.1890900273370648,0.09655921632320559,1.038457456191779,1.3578843234750022
w.c,R30.5,1.3656220464825386,0.08690270958051613,1.2247420559190931,1.5105122914785933
c.w,R30.5,1.2364829543458962,0.08127960228994437,1.107697329211446,1.3737893630128455
c.c,R35.5,1.715072224931081,0.06648909852074952,1.6078502459383834,1.828824035136661
w.w,R35.5,1.5777791705859978,0.06691251167960022,1.4675183806186891,1.6887561835378013
w.c,R35.5,1.712510328691,0.07567750680756105,1.5906654053231157,1.8403397058716886
c.w,R35.5,1.6812243700004712,0.0733769764749061,1.5636402236307037,1.807220352599463
